Course Code,Semester,Course Name,Course Aliases, Main Course Staff  
ENGG1811 , 17s2 , Computing for Engineers ,  , Ashesh Mahidadia; Mei Cheng Whale; John Shepherd; 
GSOE9210 , 17s2 , Engineering Decisions ,  , Victor Jauregui; 
SENG2021 , 17s2 , Software Engineering Workshop 2B ,  , Hussein Debel; Ali Darejeh; Fethi Rabhi; Madhushi Bandara; 
THES0001 , 17s2 , Thesis A , COMP4930                  BIOM5950                  SENG4910                  BIOM5960 , Helen Paik; 
THES0002 , 17s2 , Thesis B , COMP4941                  BIOM5951                  SENG4911                  COMP4931 , Helen Paik; 
BINF3021 , 17s1 , Genome Informatics Engineering Workshop , BINF9111 , Bruno Gaeta; 
BINF3111 , 17s1 , Genome Informatics Design Workshop ,  , Bruno Gaeta; 
COMP1000 , 17s1 , Web Spreadsheets and Databases ,  , Wei Xu; Aarthi Natarajan; 
COMP1511 , 17s1 , Introduction to Programming ,  , John Shepherd; Andrew Taylor; Mei Cheng Whale; 
COMP1911 , 17s1 , Computing 1A ,  , Angela Finlayson; 
COMP1927 , 17s1 , Computing 2 ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3141 , 17s1 , Software System Design and Implementation ,  , Gabriele Keller; Liam O'Connor-Davis; 
COMP4601 , 17s1 , Design Project B ,  , Oliver Diessel; 
COMP9020 , 17s1 , Foundations of Computer Science ,  , Michael Thielscher; 
COMP9021 , 17s1 , Principles of Programming ,  , Eric Martin; 
COMP9024 , 17s1 , Data Structures and Algorithms ,  , Hui Wu; 
COMP9243 , 17s1 , Distributed Systems ,  , Ihor Kuz; 
COMP9322 , 17s1 , Service Oriented Computing ,  , Helen Paik; 
COMP9334 , 17s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
ENGG1811 , 17s1 , Computing for Engineers ,  , Chun Tung Chou; Mei Cheng Whale; Ashesh Mahidadia; John Shepherd; 
SENG2011 , 17s1 , Software Engineering Workshop 2A ,  , Ian Chee-Wing Wong; Albert Nymeyer; Manas Patra; Ron Van der Meyden; Addo Wondo; Carroll Morgan; 
SENG3011 , 17s1 , Software Engineering Workshop 3 ,  , Madhushi Bandara; Fethi Rabhi; 
TEST1511 , 17s1 , COMP1511 Digital Uplift ,  , Kirishanth Sivanathan; Chaoxu Zheng; 
THES0001 , 17s1 , CSE Thesis A , BIOM5950                  COMP4930                  SENG4910 , Helen Paik; 
THES0002 , 17s1 , CSE Thesis B , BIOM5951                  COMP4931                  SENG4911                  COMP4941 , Helen Paik; 
COMP1927 , 17x1 , Computing 2 ,  , Aarthi Natarajan; John Shepherd; Mei Cheng Whale; 
BINF3020 , 16s2 , Computational Bioinformatics , BINF9020 , Michael Bain; 
COMP1400 , 16s2 , Programming for Designers ,  , John Shepherd; Ashesh Mahidadia; Gihan Samarasinghe; Hailun Tan; David Sison; 
COMP1917 , 16s2 , Computing 1 ,  , Sim Mautner; Stanislav Shkel; 
COMP1921 , 16s2 , Computing 1B ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP1927 , 16s2 , Computing 2 ,  , John Shepherd; Mei Cheng Whale; 
COMP3222 , 16s2 , Digital Circuits & Systems , COMP9222 , Oliver Diessel; 
COMP3331 , 16s2 , Computer Networks and Applications , COMP9331 , Salil Kanhere; Nadeem Ahmed; 
COMP3421 , 16s2 , Computer Graphics , COMP9415 , Angela Finlayson; Robert Clifton-Everest; 
COMP3431 , 16s2 , Robot Software Architectures , COMP9431 , Timothy Wiley; Claude Sammut; 
COMP6733 , 16s2 , Internet of Things Design Studio ,  , Wen Hu; 
COMP6741 , 16s2 , Parameterized and Exact Computation ,  , Serge Gaspers; 
COMP6771 , 16s2 , Advanced C++ Programming ,  , Jingling Xue; Christopher James Di Bella; 
COMP9021 , 16s2 , Principles of Programming ,  , Eric Martin; 
COMP9322 , 16s2 , Service Oriented Architectures ,  , Helen Paik; 
COMP9517 , 16s2 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Gihan Samarasinghe; 
ENGG1811 , 16s2 , Computing for Engineers ,  , Mei Cheng Whale; Chun Tung Chou; 
GSOE9210 , 16s2 , Decision Methods for Engineers ,  , Victor Jauregui; 
SENG2021 , 16s2 , Software Engineering Workshop 2B ,  , Fethi Rabhi; Ashesh Mahidadia; 
THES0001 , 16s2 , CSE Thesis Part A , BIOM5909                  BIOM5960                  BIOM5970                  BINF4910                  COMP4910                  BIOM5950                  BIOM5920                  BIOM5940                  COMP4930                  SENG4910 , Helen Paik; 
THES0002 , 16s2 , CSE Thesis Part B , SENG4911                  BIOM5921                  COMP4931                  BINF4911                  BIOM5951                  BIOM5971                  BIOM5904                  BIOM5941                  COMP4911                  BIOM5961 , Helen Paik; 
XYZZ0001 , 16s2 , Webcms3 Testing ,  , Lester Mata; John Shepherd; 
COMP1911 , 16s1 , Computing 1A ,  , Mei Cheng Whale; Andrew Taylor; 
COMP1917 , 16s1 , Computing 1 ,  , Sim Mautner; Richard Buckland; Angela Finlayson; Mei Cheng Whale; 
COMP1927 , 16s1 , Computing 2 ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3331 , 16s1 , Computer Networks and Applications , COMP9331 , Salil Kanhere; 
COMP9021 , 16s1 , Principles of Programming ,  , Eric Martin; 
COMP9315 , 16s1 , DBMS Implementation ,  , John Shepherd; 
COMP9322 , 16s1 , Service Oriented Architectures ,  , Helen Paik; 
COMP9334 , 16s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
ENGG1811 , 16s1 , Computing for Engineers ,  , Ashesh Mahidadia; Geoff Whale; Mei Cheng Whale; 
SENG2011 , 16s1 , Software Engineering Workshop 2A ,  , Albert Nymeyer; 
THES0001 , 16s1 , CSE Thesis Part A , BINF4910                  COMP4930                  COMP4910                  SENG4910 , Helen Paik; 
THES0002 , 16s1 , TESTING PAGE UNOFFICIAL ,  , Helen Paik; 
COMP1927 , 16x1 , Computing 2 ,  , Angela Finlayson; 
COMP1927 , 15s2 , Computing 2 ,  , Genevieve Anne; John Shepherd; Ashesh Mahidadia; Mei Cheng Whale; 
COMP3421 , 15s2 , Computer Graphics , COMP9415 , Angela Finlayson; 
COMP6741 , 15s2 , Parameterized and Exact Computation ,  , Serge Gaspers; 
COMP9021 , 15s2 , Principles of Programming ,  , Eric Martin; 
COMP9322 , 15s2 , Service Oriented Architectures ,  , Helen Paik; 
GSOE9010 , 15s2 , Engineering Research Skills ,  , Emily Mitchell; Mona Wong; John Shepherd; 
COMP3421 , 14s2 , Computer Graphics , COMP9415 , Angela Finlayson; 
TEST8880 , 00x0 , TEST Int. to Pro. not cloned TEST ,  , Andrew Bennett; 
TEST8888 , 00x0 , TEST Int. to Pro. 17s1 cloned TEST ,  , Andrew Bennett; 
TEST9021 , 00x0 , Self-assessment test for COMP9021 ,  , John Shepherd; 
TEST9311 , 00x0 , Self-assessment test for COMP9311 ,  , John Shepherd; Eric Martin; 
_THESIS_ , 00x0 , CSE Theses , THES0000 , John Shepherd; 
TUTR0101 , 00x0 , Tutor and Course Knowledge Repository ,  , Jashank Jeremy; Andrew Taylor; John Shepherd; 
