Course Staff, Course Code,Semester,Course Name  
John Shepherd,ENGG1811 , 17s1 , Computing for Engineers
Ian Chee-Wing Wong,SENG2011 , 17s1 , Software Engineering Workshop 2A
Albert Nymeyer,SENG2011 , 17s1 , Software Engineering Workshop 2A
Manas Patra,SENG2011 , 17s1 , Software Engineering Workshop 2A
Ron Van der Meyden,SENG2011 , 17s1 , Software Engineering Workshop 2A
Addo Wondo,SENG2011 , 17s1 , Software Engineering Workshop 2A
Carroll Morgan,SENG2011 , 17s1 , Software Engineering Workshop 2A
Madhushi Bandara,SENG3011 , 17s1 , Software Engineering Workshop 3
Fethi Rabhi,SENG3011 , 17s1 , Software Engineering Workshop 3
Kirishanth Sivanathan,TEST1511 , 17s1 , COMP1511 Digital Uplift
Chaoxu Zheng,TEST1511 , 17s1 , COMP1511 Digital Uplift
Helen Paik,THES0001 , 17s1 , CSE Thesis A
Helen Paik,THES0002 , 17s1 , CSE Thesis B
Aarthi Natarajan,COMP1927 , 17x1 , Computing 2
John Shepherd,COMP1927 , 17x1 , Computing 2
Mei Cheng Whale,COMP1927 , 17x1 , Computing 2
Michael Bain,BINF3020 , 16s2 , Computational Bioinformatics
John Shepherd,COMP1400 , 16s2 , Programming for Designers
Ashesh Mahidadia,COMP1400 , 16s2 , Programming for Designers
Gihan Samarasinghe,COMP1400 , 16s2 , Programming for Designers
Hailun Tan,COMP1400 , 16s2 , Programming for Designers
David Sison,COMP1400 , 16s2 , Programming for Designers
Sim Mautner,COMP1917 , 16s2 , Computing 1
Stanislav Shkel,COMP1917 , 16s2 , Computing 1
Ashesh Mahidadia,COMP1921 , 16s2 , Computing 1B
Mei Cheng Whale,COMP1921 , 16s2 , Computing 1B
John Shepherd,COMP1927 , 16s2 , Computing 2
Mei Cheng Whale,COMP1927 , 16s2 , Computing 2
Oliver Diessel,COMP3222 , 16s2 , Digital Circuits & Systems
Salil Kanhere,COMP3331 , 16s2 , Computer Networks and Applications
Nadeem Ahmed,COMP3331 , 16s2 , Computer Networks and Applications
Angela Finlayson,COMP3421 , 16s2 , Computer Graphics
Robert Clifton-Everest,COMP3421 , 16s2 , Computer Graphics
Timothy Wiley,COMP3431 , 16s2 , Robot Software Architectures
Claude Sammut,COMP3431 , 16s2 , Robot Software Architectures
Wen Hu,COMP6733 , 16s2 , Internet of Things Design Studio
Serge Gaspers,COMP6741 , 16s2 , Parameterized and Exact Computation
Jingling Xue,COMP6771 , 16s2 , Advanced C++ Programming
Christopher James Di Bella,COMP6771 , 16s2 , Advanced C++ Programming
Eric Martin,COMP9021 , 16s2 , Principles of Programming
Helen Paik,COMP9322 , 16s2 , Service Oriented Architectures
Xiongcai Cai,COMP9517 , 16s2 , Computer Vision
Arcot Sowmya,COMP9517 , 16s2 , Computer Vision
Gihan Samarasinghe,COMP9517 , 16s2 , Computer Vision
Mei Cheng Whale,ENGG1811 , 16s2 , Computing for Engineers
Chun Tung Chou,ENGG1811 , 16s2 , Computing for Engineers
Victor Jauregui,GSOE9210 , 16s2 , Decision Methods for Engineers
Fethi Rabhi,SENG2021 , 16s2 , Software Engineering Workshop 2B
Ashesh Mahidadia,SENG2021 , 16s2 , Software Engineering Workshop 2B
Helen Paik,THES0001 , 16s2 , CSE Thesis Part A
Helen Paik,THES0002 , 16s2 , CSE Thesis Part B
Lester Mata,XYZZ0001 , 16s2 , Webcms3 Testing
John Shepherd,XYZZ0001 , 16s2 , Webcms3 Testing
Mei Cheng Whale,COMP1911 , 16s1 , Computing 1A
Andrew Taylor,COMP1911 , 16s1 , Computing 1A
Sim Mautner,COMP1917 , 16s1 , Computing 1
Richard Buckland,COMP1917 , 16s1 , Computing 1
Angela Finlayson,COMP1917 , 16s1 , Computing 1
Mei Cheng Whale,COMP1917 , 16s1 , Computing 1
Ashesh Mahidadia,COMP1927 , 16s1 , Computing 2
Mei Cheng Whale,COMP1927 , 16s1 , Computing 2
Salil Kanhere,COMP3331 , 16s1 , Computer Networks and Applications
Eric Martin,COMP9021 , 16s1 , Principles of Programming
John Shepherd,COMP9315 , 16s1 , DBMS Implementation
Helen Paik,COMP9322 , 16s1 , Service Oriented Architectures
Chun Tung Chou,COMP9334 , 16s1 , Capacity Planning of Computer Systems and Networks
Ashesh Mahidadia,ENGG1811 , 16s1 , Computing for Engineers
Geoff Whale,ENGG1811 , 16s1 , Computing for Engineers
Mei Cheng Whale,ENGG1811 , 16s1 , Computing for Engineers
Albert Nymeyer,SENG2011 , 16s1 , Software Engineering Workshop 2A
Helen Paik,THES0001 , 16s1 , CSE Thesis Part A
Helen Paik,THES0002 , 16s1 , TESTING PAGE UNOFFICIAL
Angela Finlayson,COMP1927 , 16x1 , Computing 2
Genevieve Anne,COMP1927 , 15s2 , Computing 2
John Shepherd,COMP1927 , 15s2 , Computing 2
Ashesh Mahidadia,COMP1927 , 15s2 , Computing 2
Mei Cheng Whale,COMP1927 , 15s2 , Computing 2
Angela Finlayson,COMP3421 , 15s2 , Computer Graphics
Serge Gaspers,COMP6741 , 15s2 , Parameterized and Exact Computation
Eric Martin,COMP9021 , 15s2 , Principles of Programming
Helen Paik,COMP9322 , 15s2 , Service Oriented Architectures
Emily Mitchell,GSOE9010 , 15s2 , Engineering Research Skills
Mona Wong,GSOE9010 , 15s2 , Engineering Research Skills
John Shepherd,GSOE9010 , 15s2 , Engineering Research Skills
Angela Finlayson,COMP3421 , 14s2 , Computer Graphics
Andrew Bennett,TEST8880 , 00x0 , TEST Int. to Pro. not cloned TEST
Andrew Bennett,TEST8888 , 00x0 , TEST Int. to Pro. 17s1 cloned TEST
John Shepherd,TEST9021 , 00x0 , Self-assessment test for COMP9021
John Shepherd,TEST9311 , 00x0 , Self-assessment test for COMP9311
Eric Martin,TEST9311 , 00x0 , Self-assessment test for COMP9311
John Shepherd,_THESIS_ , 00x0 , CSE Theses
Jashank Jeremy,TUTR0101 , 00x0 , Tutor and Course Knowledge Repository
Andrew Taylor,TUTR0101 , 00x0 , Tutor and Course Knowledge Repository
John Shepherd,TUTR0101 , 00x0 , Tutor and Course Knowledge Repository
